"target_symbol","n_mirnas"
"BZW1",9
"C18orf32",9
"CAPZA1",9
"CASP3",9
"CCDC6",9
"CCDC71L",9
"CCNB1",9
"CDK19",9
"CELF1",9
"CERCAM",9
"CFL2",9
"CLIP4",9
"CNBP",9
"CPEB3",9
"CPT1A",9
"CRAMP1",9
"CREBRF",9
"DDIT4",9
"DR1",9
"DUSP10",9
"DUSP18",9
"E2F1",9
"EFNB1",9
"EOGT",9
"EPHA4",9
"EXOC8",9
"F3",9
"FAHD1",9
"FBXO31",9
"FOS",9
"FOXK2",9
"FOXN3",9
"FXN",9
"FXR1",9
"G3BP1",9
"GATAD1",9
"GATAD2B",9
"GRB10",9
"HAS2",9
"HBP1",9
"HIF1AN",9
"ICMT",9
"ITGB8",9
"JMY",9
"KCNJ6",9
"KCNK6",9
"KIF23",9
"KMT5B",9
"LBR",9
"MAP3K3",9
"MASTL",9
"METTL8",9
"MITF",9
"MOSMO",9
"MRPS16",9
"MYH9",9
"NABP1",9
"NIN",9
"NR2C2",9
"NRAS",9
"NUP50",9
"PCGF3",9
"PDP2",9
"PDPK1",9
"PDZD8",9
"PHF12",9
"PHF19",9
"PHLPP2",9
"PKNOX1",9
"PLEKHA3",9
"PMEPA1",9
"POLQ",9
"POLR3G",9
"PTPN4",9
"PXYLP1",9
"QSER1",9
"RAB22A",9
"RHOA",9
"RNF19B",9
"RO60",9
"RRM2",9
"RUNDC3B",9
"SAR1A",9
"SECISBP2L",9
"SGPL1",9
"SHISA9",9
"SIX4",9
"SLC10A3",9
"SLC16A9",9
"SLC31A1",9
"SLC35F6",9
"SLC38A2",9
"SMAD2",9
"SMAD7",9
"SMOC1",9
"SPATA2",9
"SREK1IP1",9
"STK40",9
"STMN1",9
"TAF8",9
"TECPR2",9
"TGFBR3",9
"THRA",9
"TIMM50",9
"TNFRSF21",9
"TPRG1L",9
"TRAPPC10",9
"TRIM2",9
"TRIM65",9
"TRIM71",9
"TSN",9
"UBE2Z",9
"UHMK1",9
"UQCRB",9
"USP28",9
"USP48",9
"VPS53",9
"WWC1",9
"YTHDC1",9
"YWHAE",9
"ZBTB34",9
"ZBTB5",9
"ZFYVE26",9
"ZFYVE9",9
"ZMYM1",9
"ZNF24",9
"ZNF275",9
"ZNF584",9
"ZNF711",9
"ACTN4",8
"ANP32E",8
"APC",8
"ARHGEF26",8
"ARID1A",8
"ARID5B",8
"ATG14",8
"ATXN1L",8
"BAMBI",8
"BCL2L13",8
"BRMS1L",8
"BTG3",8
"BTN3A2",8
"C15orf40",8
"CALM2",8
"CAND1",8
"CAPZA2",8
"CBS",8
"CCDC47",8
"CD47",8
"CDCA4",8
"CEP170",8
"CEP97",8
"CHIC1",8
"CHSY1",8
"CLEC12B",8
"COX20",8
"CPEB4",8
"CRKL",8
"CSE1L",8
"CSNK1A1",8
"CUL3",8
"CYBRD1",8
"DAZAP2",8
"DCAF7",8
"DDX19B",8
"DEPDC1",8
"DUSP2",8
"E2F7",8
"EIF2S1",8
"ELAVL2",8
"ELL2",8
"ENAH",8
"EPM2AIP1",8
"ETS1",8
"EVI5",8
"EXOSC2",8
"FAM117B",8
"FBXO28",8
"FBXW2",8
"FEM1B",8
"FIGN",8
"FNBP1",8
"FNDC3B",8
"FOXQ1",8
"FYCO1",8
"GNAQ",8
"GNAS",8
"GPR75",8
"HNRNPU",8
"HOXA5",8
"HOXC8",8
"HSD17B12",8
"IL6R",8
"IL6ST",8
"IRF1",8
"IRGQ",8
"ISY1",8
"ITGA2",8
"KIF5B",8
"KLHL11",8
"KPNA2",8
"LAPTM4A",8
"LARP1",8
"LARS1",8
"LEPROT",8
"LHFPL2",8
"LIMA1",8
"LIMS1",8
"LPP",8
"LRIG3",8
"LRRC40",8
"MAP1B",8
"MAP2K1",8
"MAPRE3",8
"MBD4",8
"MED28",8
"MEF2D",8
"MET",8
"MLLT1",8
"MTMR3",8
"NDUFV3",8
"NFAT5",8
"NFIX",8
"NHLRC3",8
"NHS",8
"NOL9",8
"NRBF2",8
"PCMTD1",8
"PDIK1L",8
"PEA15",8
"PEX13",8
"PLEKHF2",8
"PLXNA3",8
"PPP1R11",8
"PPP3R1",8
"PPP6C",8
"PRKAR1A",8
"PRKCB",8
"PRPS1",8
"PRUNE2",8
"PTBP1",8
"PTBP3",8
"PTP4A2",8
"PURG",8
"RAB11FIP4",8
"RAD23B",8
"RBM41",8
"RBPJ",8
"REXO1",8
"RFT1",8
"RFXAP",8
"RHOC",8
"RMND5A",8
"RNF125",8
"RNF44",8
"RUNX1",8
"RUNX2",8
"RUNX3",8
"S1PR2",8
"SERPINH1",8
"SF3A1",8
"SGMS1",8
"SH3GLB1",8
"SLAIN2",8
"SLC16A1",8
"SMCHD1",8
"SP4",8
"SPRYD4",8
