"miRNA","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"hsa-miR-454-5p",29.9490443106191,1.63363244499185,0.16431617521751,9.94200627436326,2.73267101120307e-23,7.06768093352066e-22,"Up"
"hsa-miR-490-3p",44.6083612294156,-2.96789808298482,0.300439754487514,-9.87851320823845,5.15926867237141e-23,1.27635820633884e-21,"Down"
"hsa-miR-425-5p",6431.84552694198,1.34908035843529,0.136851576424175,9.85798186389744,6.33090430835844e-23,1.50095189643998e-21,"Up"
"hsa-miR-1180-3p",1109.45189046803,2.24268807686441,0.230295983434049,9.73828567664386,2.07017145916541e-22,4.71171024106047e-21,"Up"
"hsa-miR-449a",140.136230838657,2.91406705211363,0.299687128687531,9.72369772727873,2.3894319535121e-22,5.22917992903226e-21,"Up"
"hsa-miR-1307-3p",2598.3430198094,1.3045218406493,0.135245594424272,9.64557733804585,5.13215825339417e-22,1.08155483191899e-20,"Up"
"hsa-miR-490-5p",49.2466071761666,-3.24287877699709,0.352944704562968,-9.18806468852554,3.99972344273458e-20,8.12800942469992e-19,"Down"
"hsa-miR-18a-3p",48.696405728735,1.905987974306,0.207715206232179,9.17596746468106,4.47537464502297e-20,8.78099370006231e-19,"Up"
"hsa-miR-221-3p",2947.88592485444,1.60348279370202,0.175641453771436,9.1292958425899,6.89462722983155e-20,1.30768096459138e-18,"Up"
"hsa-miR-7706",153.349816828086,1.45535103393783,0.159796484499693,9.10752848220906,8.42799710975222e-20,1.54694527595129e-18,"Up"
"hsa-miR-215-5p",3736.30692596171,3.18490928835616,0.350317587156196,9.09149127855835,9.76898006029868e-20,1.73704676697186e-18,"Up"
"hsa-miR-532-5p",7247.94008860388,1.04528693036407,0.115146018585307,9.07792508335544,1.10664290861555e-19,1.90812065152197e-18,"Up"
"hsa-miR-216b-5p",165.860905636458,3.70250475763734,0.409145139463718,9.04936757281377,1.43798749304543e-19,2.40651436336133e-18,"Up"
"hsa-miR-7-5p",3192.67618922097,1.7158662316588,0.190620558895197,9.00147519031346,2.22704802626214e-19,3.62054379126617e-18,"Up"
"hsa-miR-1301-3p",183.742461216313,1.43024880672714,0.159020334898783,8.99412523333887,2.3812087200429e-19,3.76363267140114e-18,"Up"
"hsa-miR-589-3p",26.7350074989951,1.88463672338991,0.212321142524337,8.87634976424398,6.90903489749496e-19,1.06249752883098e-17,"Up"
"hsa-miR-1226-3p",45.2940636883917,2.53214880386082,0.287016275095522,8.82231783900789,1.12114486827139e-18,1.67876692117479e-17,"Up"
"hsa-miR-1306-5p",27.9898581936423,1.49561254321532,0.171645800148567,8.71336520859123,2.94984382312361e-18,4.30374650091625e-17,"Up"
"hsa-miR-941",1572.03561552557,1.32092011941577,0.155167958116769,8.51284076588628,1.69723073566089e-17,2.41431072147761e-16,"Up"
"hsa-miR-671-5p",333.696131387224,1.41759166264727,0.166938772950476,8.49168612894868,2.03660427648849e-17,2.82640934956573e-16,"Up"
"hsa-miR-3187-3p",22.9310526434716,1.83410359615505,0.219826640769649,8.34340910516373,7.21789245667431e-17,9.77852573297068e-16,"Up"
"hsa-miR-500a-5p",104.33919744236,1.25728312461323,0.150787489859437,8.33811296802708,7.54854421810349e-17,9.98865502349043e-16,"Up"
"hsa-miR-99a-3p",465.650160928024,-1.54816954567608,0.185947114870575,-8.32585946145847,8.37190810855969e-17,1.08263993494783e-15,"Down"
"hsa-miR-219b-5p",15.7690042735176,1.93982905298204,0.233088900972724,8.32227122306884,8.62935702964039e-17,1.09113425552564e-15,"Up"
"hsa-miR-1290",68.5928224571359,3.9557408436396,0.475875865065982,8.31254773362192,9.36689541538979e-17,1.15864423725148e-15,"Up"
"hsa-miR-548k",429.827262098792,1.59128725029819,0.191718715036862,8.30011431065679,1.04011268787946e-16,1.25920025404982e-15,"Up"
"hsa-miR-454-3p",1212.27322838325,1.04520273900296,0.126785058870048,8.24389520593493,1.66693161694088e-16,1.97600852091533e-15,"Up"
"hsa-miR-424-5p",4710.20639899837,-1.18549695830862,0.143859818581104,-8.24063988124846,1.71292072470508e-16,1.98908549460651e-15,"Down"
"hsa-miR-301b-3p",44.2551353831161,2.48434436877827,0.302747652777825,8.20599052043333,2.28697462711971e-16,2.60257712566223e-15,"Up"
"hsa-miR-9-3p",112.184855489448,3.43911138160672,0.420106480499947,8.18628500449221,2.69413293464742e-16,3.00580713689095e-15,"Up"
